USE_LICENSE_URL,GUID,OTHERCATALOGNUMBERS,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_LOCALITY,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,PARTDETAIL,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238581","","Ochlerotatus communis","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571883"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu10: 44 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238582","","Balclutha sp. BOLD:AAG8963","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571885"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu3: 3410 reads, SlikokOtu5: 684 reads, SlikokOtu292: 42 reads, SlikokOtu147: 40 reads, SlikokOtu279: 26 reads, SlikokOtu598: 14 reads, SlikokOtu831: 6 reads, SlikokOtu434: 4 reads, SlikokOtu450: 4 reads, SlikokOtu981: 4 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238583","","Balclutha sp. SlikokOtu603","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571887"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu603: 6 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238584","","Cinara sp. CHR155","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571889"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu1081: 4 reads, SlikokOtu1809: 4 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238585","","Cladara limitaria","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571891"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu186: 830 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238586","","Craspedolepta schwarzi","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571893"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu60: 4796 reads, SlikokOtu50: 62 reads, SlikokOtu634: 14 reads, SlikokOtu784: 10 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238587","","Criomorphus sp. SlikokOtu228","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571895"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu228: 8 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238588","","Culiseta morsitans","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571897"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu44: 68 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238589","","Ochlerotatus diantaeus","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571899"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu314: 8 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238590","","Delphacidae sp. SlikokOtu1556","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, east half of plot","6/14/2016","2016-06-14","2016-06-14","[{""ID"":""28571901"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu1556: 6 reads"",""PA"":[]}]","60.46755317","-151.0578677","12"
"http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by/3.0/","UAMObs:Ento:238591","","Sciaridae sp. SlikokOtu2026","United States","Alaska","Soldotna, forest 180m south-southeast of Nordic Lake, Slikok watershed project site MG30, west half of plot","USA: Alaska, Soldotna, forest 180m south-southeast of Nordic Lake, Slikok watershed project site MG30, west half of plot","6/16/2016","2016-06-16","2016-06-16","[{""ID"":""28571903"",""SF"":"""",""PN"":""media"",""LC"":""1"",""DP"":""not applicable"",""CD"":""not applicable"",""BC"":"""",""CP"":"""",""RK"":""SlikokOtu2026: 3 reads"",""PA"":[]}]","60.44561716","-151.078104","12"
